id,name,description,tagline,website,phone,address_street,address_city,address_zip,latitude,longitude,ava_primary,ava_secondary,nearest_town,production_size,annual_cases,winery_scale,tasting_room_vibe,ownership_type
jordan-winery,Jordan Vineyard & Winery,Iconic French-inspired estate known for elegant Cabernet and Chardonnay. All visits include food pairings prepared by their culinary team. One of Sonoma's most celebrated luxury experiences.,"Cabernet, Chardonnay, and Hospitality",https://www.jordanwinery.com,(707) 431-5250,1474 Alexander Valley Road,Healdsburg,95448,38.6614,-122.8456,alexander-valley,,Healdsburg,medium,100000,grand,elegant,family-owned
dry-creek-vineyard,Dry Creek Vineyard,"Pioneer of Dry Creek Valley, first winery after Prohibition in 1972. Famous for Zinfandel and Sauvignon Blanc. Features bocce courts, picnic grounds, and classic California charm.",No Compromises,https://www.drycreekvineyard.com,(707) 433-1000,3770 Lambert Bridge Road,Healdsburg,95448,38.684699999999999,-122.9425,dry-creek-valley,,Healdsburg,medium,75000,established,rustic,family-owned
gloria-ferrer,Gloria Ferrer Caves & Vineyards,"First sparkling wine house in Carneros, founded 1986. Spanish heritage meets California terroir. Stunning terrace views and méthode champenoise sparkling wines.","Don't Count the Days, Make the Days Count",https://www.gloriaferrer.com,(707) 996-7256,23555 Carneros Highway,Sonoma,95476,38.236899999999999,-122.3847,carneros,,Sonoma,large,150000,grand,elegant,corporate
scribe-winery,Scribe Winery,MEMBERS ONLY. Historic hacienda setting with natural wines. Must join allocation list for visits. Garden snacks included with tastings.,"Vibrant, Terroir-Driven Wines",https://www.scribewinery.com,(707) 939-1858,2100 Denmark Street,Sonoma,95476,38.284700000000001,-122.4156,sonoma-valley,,Sonoma,small,15000,boutique,modern,family-owned
nalle-winery,Nalle Winery,"Hidden gem specializing in elegant, lighter-style Zinfandel. Family-owned since 1984, often poured by the Nalle family themselves. Wine Spectator Top 100.",One of the Best Zinfandel Makers in California,https://www.nallewinery.com,(707) 433-1040,2383 Dry Creek Road,Healdsburg,95448,38.658900000000003,-122.9367,dry-creek-valley,,Healdsburg,boutique,3000,intimate,rustic,family-owned
iron-horse-vineyards,Iron Horse Vineyards,Premier sparkling wine estate in Green Valley. Served at White House state dinners. Outdoor tastings with stunning vineyard views. The Oyster Girls visit weekends.,Joy in Every Bottle,https://www.ironhorsevineyards.com,(707) 887-1507,9786 Ross Station Road,Sebastopol,95472,38.424700000000001,-122.8789,green-valley,russian-river-valley,Sebastopol,small,25000,established,rustic,family-owned
martinelli-winery,Martinelli Winery & Vineyards,Family farming since 1880s. Historic hop barn tasting room. Famous Jackass Hill old-vine Zinfandel from impossibly steep slopes.,Six Generations of Family Farming,https://www.martinelliwinery.com,(707) 525-0570,3360 River Road,Windsor,95492,38.5167,-122.8456,russian-river-valley,,Windsor,small,15000,established,historic,family-owned
deloach-vineyards,DeLoach Vineyards,"Pioneering biodynamic winery since 1975. Beautiful gardens, chickens, and oak-shaded picnic areas. Franco-American tasting compares Sonoma and French wines.",Biodynamic Pioneers,https://www.deloachvineyards.com,(707) 526-9111,1791 Olivet Road,Santa Rosa,95401,38.4589,-122.82340000000001,russian-river-valley,,Santa Rosa,medium,50000,established,rustic,corporate
unti-vineyards,Unti Vineyards,"Beloved for Italian and Rhône varieties. Casual Airstream tasting bar, bring-your-own-picnic vibe. Organic farming, traditional methods, serious wines without pretense.",Wine with a Sense of Place,https://www.untivineyards.com,(707) 433-5590,4202 Dry Creek Road,Healdsburg,95448,38.697800000000001,-122.9456,dry-creek-valley,,Healdsburg,boutique,5000,intimate,casual,family-owned
benziger-family-winery,Benziger Family Winery,Pioneering biodynamic winery with famous tram tour through vineyards. Great for families with peacocks roaming the property. Educational and engaging.,Farming for Flavor,https://www.benziger.com,(888) 490-2739,1883 London Ranch Road,Glen Ellen,95442,38.354199999999999,-122.51560000000001,sonoma-mountain,sonoma-valley,Glen Ellen,medium,50000,established,rustic,family-owned
flowers-winery,Flowers Vineyards & Winery,Stunning modern architecture in the Russian River Valley. Known for exceptional Sonoma Coast Pinot Noir and Chardonnay from extreme coastal vineyards.,True Sonoma Coast,https://www.flowerswinery.com,(707) 723-4800,4035 Westside Road,Healdsburg,95448,38.5456,-122.9234,sonoma-coast,russian-river-valley,Healdsburg,small,20000,polished,modern,corporate
seghesio-family-vineyards,Seghesio Family Vineyards,Italian heritage since 1895. Downtown Healdsburg tasting room with bocce courts. Famous for old-vine Zinfandel and Italian varietals.,Five Generations of Winemaking,https://www.seghesio.com,(707) 433-3579,700 Grove Street,Healdsburg,95448,38.608899999999998,-122.8689,dry-creek-valley,alexander-valley,Healdsburg,medium,60000,established,modern,family-owned
halleck-vineyard,Halleck Vineyard,Small luxury estate. Best Pinot in America three years running. Intimate 16-guest max tastings include vineyard tour and food pairings. Dog-friendly.,Best Pinot in America,https://www.halleckvineyard.com,(707) 738-8383,3785 Burnside Road,Sebastopol,95472,38.437800000000003,-122.8567,russian-river-valley,sonoma-coast,Sebastopol,boutique,2500,intimate,elegant,family-owned
pedroncelli-winery,Pedroncelli Winery,"Family-owned since 1927, survived Prohibition. Fourth generation, 70% woman-owned. Best values in Dry Creek Valley. Unpretentious and welcoming.",Our Family's Passion,https://www.pedroncelli.com,(707) 857-3531,1220 Canyon Road,Geyserville,95441,38.723399999999998,-122.9089,dry-creek-valley,,Geyserville,medium,60000,established,casual,family-owned
arista-winery,Arista Winery,"Beautiful Japanese garden setting. Small-lot Pinot Noir and Chardonnay. Family-owned with meticulous attention to detail. Peaceful, refined tasting experience.",Spirit of California Wine Country,https://www.aristawinery.com,(707) 473-0606,7015 Westside Road,Healdsburg,95448,38.567799999999998,-122.9345,russian-river-valley,,Healdsburg,small,10000,boutique,elegant,family-owned
landmark-hop-kiln,Landmark Vineyards at Hop Kiln Estate,"Historic stone hop kiln building, California Historical Landmark. Expansive lawn for picnics. Great Pinot Noir and Chardonnay with unique character.",A Sonoma Historic Landmark,https://www.landmarkwine.com,(707) 833-0053,6050 Westside Road,Healdsburg,95448,38.553400000000003,-122.9178,russian-river-valley,,Healdsburg,medium,40000,established,historic,corporate
wilson-winery,Wilson Winery,"Century-old tin barn, one of oldest structures in Dry Creek. Big, ripe Zinfandels. Fantastic deck views. Picnic and charcuterie plates available.",World-Class Zinfandels Since 1993,https://www.wilsonwinery.com,(707) 433-4355,1960 Dry Creek Road,Healdsburg,95448,38.656700000000001,-122.9312,dry-creek-valley,,Healdsburg,small,8000,intimate,rustic,family-owned
buena-vista-winery,Buena Vista Winery,"California's first premium winery, founded 1857. Historic caves, costumed 'Count' tours. Champagne-focused Bubble Lounge. Rich history with a playful spirit.",California's First Premium Winery,https://www.buenavistawinery.com,(707) 265-1472,18000 Old Winery Road,Sonoma,95476,38.297800000000002,-122.4234,sonoma-valley,carneros,Sonoma,medium,80000,grand,historic,corporate
ridge-lytton-springs,Ridge Vineyards Lytton Springs,"Legendary 1970s Zinfandel Renaissance producer. Environmentally-friendly tasting room built from straw bales. Serious wines, serious reputation.",Single Vineyard Wines Since 1962,https://www.ridgewine.com,(707) 433-7721,650 Lytton Springs Road,Healdsburg,95448,38.623399999999997,-122.8789,dry-creek-valley,,Healdsburg,medium,75000,established,modern,corporate
gary-farrell-winery,Gary Farrell Vineyards & Winery,"Stunning hilltop views of Russian River Valley. Elegant, refined Pinot Noir and Chardonnay. Sophisticated tasting experience with knowledgeable staff.",Russian River Valley Excellence,https://www.garyfarrellwinery.com,(707) 473-2900,10701 Westside Road,Healdsburg,95448,38.5289,-122.9456,russian-river-valley,,Healdsburg,small,25000,polished,elegant,corporate
ferrari-carano,Ferrari-Carano Vineyards & Winery,"Grand Italian-inspired estate in Dry Creek Valley with stunning gardens, underground barrel cellars, and award-winning wines. Known for elegant hospitality and beautiful grounds.",Where Passion and Tradition Meet,https://www.ferrari-carano.com,(707) 433-6700,8761 Dry Creek Road,Healdsburg,95448,38.7012,-122.9234,dry-creek-valley,alexander-valley,Healdsburg,large,200000,grand,elegant,corporate
chalk-hill-estate,Chalk Hill Estate Winery,"Exclusive estate in its own AVA with 1,300 acres. Known for exceptional Chardonnay and estate hospitality. Beautiful grounds with culinary gardens.",Where the Land Speaks,https://www.chalkhill.com,(707) 657-4837,10300 Chalk Hill Road,Healdsburg,95448,38.623399999999997,-122.77889999999999,chalk-hill,,Windsor,medium,75000,grand,elegant,corporate
sebastiani,Sebastiani Vineyards & Winery,Historic Sonoma winery founded 1904. One of California's oldest family-operated wineries. Downtown Sonoma tasting room with rich heritage.,A Family Tradition Since 1904,https://www.sebastiani.com,(707) 933-3230,389 Fourth Street East,Sonoma,95476,38.291899999999998,-122.4556,sonoma-valley,,Sonoma,large,300000,established,historic,corporate
chateau-st-jean,Chateau St. Jean,"Beautiful 1920s chateau estate with rose gardens, redwood grove, bocce courts, and grand lawn views of Sugarloaf Ridge. One of Sonoma Valley's most scenic properties.",A Fine European Estate Under Sonoma Skies,https://www.chateaustjean.com,(707) 257-5784,8555 Sonoma Highway,Kenwood,95452,38.415599999999998,-122.53449999999999,sonoma-valley,,Kenwood,large,150000,grand,historic,corporate
roth-estate,Roth Estate,"Alexander Valley estate focused on Bordeaux varietals since 2001. Also produces cool-climate Sonoma Coast wines. Modern, approachable tasting experience.",Full-Flavored Sonoma Wines,https://www.rothestate.com,(707) 431-1536,9000 Thomas Road,Healdsburg,95448,38.678899999999999,-122.82340000000001,alexander-valley,sonoma-coast,Healdsburg,medium,50000,established,modern,corporate
banshee-wines,Banshee Wines,"Hip, modern tasting room on Healdsburg Square. Known for cool-climate Pinot Noir and Chardonnay with a laid-back, urban wine bar vibe.",Scream-Worthy Wines,https://www.bansheewines.com,(707) 395-0915,325 Center Street,Healdsburg,95448,38.610599999999998,-122.8689,sonoma-coast,russian-river-valley,Healdsburg,small,25000,boutique,modern,corporate
lancaster-estate,Lancaster Estate,Ultra-premium Alexander Valley estate producing limited-production Bordeaux-style wines. Appointment-only experiences in elegant setting.,The Art of Winemaking,https://www.lancaster-estate.com,(707) 433-8178,15001 Chalk Hill Road,Healdsburg,95448,38.645600000000002,-122.76779999999999,alexander-valley,,Healdsburg,boutique,5000,polished,elegant,corporate
kendall-jackson,Kendall-Jackson Wine Estate & Gardens,"Ultimate wine, food, and farm-to-table destination. Beautiful sensory gardens, culinary demonstrations, and America's #1 Chardonnay. Great for families and foodies.","California-Grown, Family-Owned",https://www.kj.com,(707) 571-8100,5007 Fulton Road,Fulton,95439,38.485599999999998,-122.79340000000001,russian-river-valley,,Santa Rosa,commercial,3000000,grand,elegant,family-owned
la-crema,La Crema Estate at Saralee's Vineyard,"Cool-climate Pinot Noir and Chardonnay specialist. Beautiful Russian River Valley estate with vineyard views. Known for approachable, food-friendly wines.",Cool Climate. Warm Heart.,https://www.lacrema.com,(707) 431-9400,235 Healdsburg Avenue,Healdsburg,95448,38.608899999999998,-122.8712,russian-river-valley,sonoma-coast,Healdsburg,large,900000,established,modern,family-owned
stonestreet-winery,Stonestreet Estate Vineyards,High-elevation Alexander Mountain Estate producing exceptional Cabernet and Chardonnay. Rugged mountain vineyards with unique terroir.,Mountain Grown Excellence,https://www.stonestreet.com,(707) 433-9463,7111 Highway 128,Healdsburg,95448,38.656700000000001,-122.81229999999999,alexander-valley,,Healdsburg,medium,50000,polished,modern,family-owned
matanzas-creek,Matanzas Creek Winery,"Bennett Valley pioneer famous for stunning lavender fields (peak bloom June) and exceptional Sauvignon Blanc and Merlot. Peaceful, scenic destination.",Sauvignon Blanc Pioneers,https://www.matanzascreek.com,(707) 528-6464,6097 Bennett Valley Road,Santa Rosa,95404,38.423400000000001,-122.6789,bennett-valley,,Santa Rosa,medium,40000,established,elegant,family-owned
hartford-family,Hartford Family Winery,"Small-lot, single-vineyard Pinot Noir and Chardonnay from old vines. Part of Jackson family but independently run. Serious wines, intimate setting.","Old Vines, New Wines",https://www.hartfordwines.com,(707) 887-8030,8075 Martinelli Road,Forestville,95436,38.478900000000003,-122.89449999999999,russian-river-valley,sonoma-coast,Forestville,small,10000,boutique,rustic,family-owned
copain-wines,Copain Wines,"Rhône and Burgundian varieties from cool Mendocino and Sonoma Coast sites. Laid-back, relaxed tasting in a beautiful setting. Known for restraint and elegance.",Friends and Wine,https://www.copainwines.com,(707) 836-8822,7800 Eastside Road,Healdsburg,95448,38.5456,-122.8678,russian-river-valley,sonoma-coast,Healdsburg,small,15000,boutique,casual,family-owned
siduri-wines,Siduri Wines,Pinot Noir obsessives with fruit from top vineyards across California and Oregon. Urban winery tasting room in Healdsburg.,Serious Pinot Noir,https://www.siduri.com,(707) 578-3882,981 Airway Court Suite C,Santa Rosa,95403,38.508899999999997,-122.7234,russian-river-valley,sonoma-coast,Santa Rosa,small,20000,boutique,casual,family-owned
fort-ross-vineyard,Fort Ross Vineyard & Winery,"Spectacularly sited tasting room above the fog with Pacific Ocean views. Only estate tasting room in Fort Ross-Seaview AVA. Exceptional Pinot Noir, Chardonnay and rare Pinotage.",Where the Mountain Meets the Sea,https://www.fortrossvineyard.com,(707) 847-3460,15725 Meyers Grade Road,Jenner,95450,38.523400000000002,-123.2345,fort-ross-seaview,sonoma-coast,Jenner,boutique,4000,intimate,rustic,family-owned
red-car-wine,Red Car Wine,"Sonoma Coast specialist producing expressive, site-driven Pinot Noir and Syrah. Casual tasting room in Sebastopol with passionate, knowledgeable staff.",True Sonoma Coast,https://www.redcarwine.com,(707) 829-8500,8400 Graton Road,Sebastopol,95472,38.456699999999998,-122.8789,sonoma-coast,russian-river-valley,Sebastopol,small,8000,boutique,casual,family-owned
gundlach-bundschu,Gundlach Bundschu Winery,One of California's oldest family-owned wineries (1858). 320 acres at intersection of four AVAs. Known for excellent value and laid-back atmosphere with live music.,California's Oldest Family-Owned Winery,https://www.gunbun.com,(707) 938-5277,2000 Denmark Street,Sonoma,95476,38.2789,-122.4123,sonoma-valley,carneros,Sonoma,medium,45000,established,casual,family-owned
domaine-carneros,Domaine Carneros,Stunning French château producing méthode traditionnelle sparkling wines. Owned by Taittinger Champagne. Elegant terrace overlooking vineyards.,The Art of Sparkling Wine,https://www.domainecarneros.com,(707) 257-0101,1240 Duhig Road,Napa,94559,38.245600000000003,-122.3678,carneros,,Sonoma,medium,50000,grand,elegant,corporate
cline-cellars,Cline Cellars,"Historic Carneros estate with California Missions museum. Known for Rhône varieties and old-vine Zinfandel. Free tastings, picnic grounds, farm animals.","Family, History, Wine",https://www.clinecellars.com,(707) 940-4030,24737 Arnold Drive,Sonoma,95476,38.256700000000002,-122.4456,carneros,sonoma-valley,Sonoma,large,250000,established,casual,family-owned
schug-carneros,Schug Carneros Estate Winery,German-style winery founded by legendary winemaker Walter Schug. Known for exceptional Pinot Noir and Chardonnay in Carneros tradition.,Excellence Through Tradition,https://www.schugwinery.com,(707) 939-9363,602 Bonneau Road,Sonoma,95476,38.234499999999997,-122.4012,carneros,,Sonoma,small,15000,established,modern,family-owned
rams-gate,Ram's Gate Winery,"Luxurious modern estate at southern Carneros gateway. Farm-to-table restaurant, stunning architecture, premium Pinot and Chardonnay.",Where Wine Country Begins,https://www.ramsgatewinery.com,(707) 721-8700,28700 Arnold Drive,Sonoma,95476,38.223399999999998,-122.4567,carneros,sonoma-coast,Sonoma,small,12000,polished,modern,family-owned
kunde-family,Kunde Family Winery,"Five-generation family estate in Sonoma Valley with 1,850 acres. Cave tours, hiking trails, stunning views. Known for estate wines and outdoor activities.",Five Generations of Farming,https://www.kunde.com,(707) 833-5501,9825 Sonoma Highway,Kenwood,95452,38.423400000000001,-122.55670000000001,sonoma-valley,,Kenwood,medium,80000,established,rustic,family-owned
st-francis,St. Francis Winery & Vineyards,Mission-style winery known for exceptional food and wine pairings. Famous multi-course pairings with Sonoma County chef-prepared cuisine.,"Wild Oak, Sonoma County",https://www.stfranciswinery.com,(707) 538-9463,100 Pythian Road,Santa Rosa,95409,38.401200000000003,-122.56780000000001,sonoma-valley,,Kenwood,large,150000,grand,elegant,corporate
ledson-winery,Ledson Winery & Vineyards,"Stunning 16,000 sq ft Gothic-style castle known as the 'Castle' of Sonoma Valley. Grand architecture, manicured grounds, diverse wine portfolio.",The Castle Winery,https://www.ledson.com,(707) 537-3810,7335 Sonoma Highway,Kenwood,95452,38.378900000000002,-122.5234,sonoma-valley,,Kenwood,medium,35000,grand,elegant,family-owned
imagery-estate,Imagery Estate Winery,"Sister winery to Benziger known for unusual varietals and artist series labels. Over 180 original artworks on display. Organic, biodynamic farming.",Art Meets Wine,https://www.imagerywinery.com,(707) 935-4515,14335 Highway 12,Glen Ellen,95442,38.356699999999996,-122.5123,sonoma-valley,,Glen Ellen,small,25000,established,modern,family-owned
keller-estate,Keller Estate,"One of few wineries with tasting room in Petaluma Gap AVA. Cave tours, stunning views, exceptional cool-climate Pinot Noir and Chardonnay.",Petaluma Gap Pioneers,https://www.kellerestate.com,(707) 765-2117,5875 Lakeville Highway,Petaluma,94954,38.2012,-122.56780000000001,petaluma-gap,,Petaluma,small,8000,boutique,elegant,family-owned
mcevoy-ranch,McEvoy Ranch,"550-acre olive oil and wine estate in hidden private valley. Organic farming, lavender gardens, Italian varietals alongside Pinot and Syrah.","Oil, Wine & Nature",https://www.mcevoyranch.com,(707) 778-2307,5935 Red Hill Road,Petaluma,94952,38.178899999999999,-122.6234,petaluma-gap,,Petaluma,small,5000,boutique,rustic,family-owned
merry-edwards,Merry Edwards Winery,Legendary winemaker's estate producing acclaimed Russian River Pinot Noir and Sauvignon Blanc. Beautiful tasting room with vineyard views.,Great Wines Are Grown,https://www.merryedwards.com,(707) 823-7466,2959 Gravenstein Highway North,Sebastopol,95472,38.438899999999997,-122.8456,russian-river-valley,green-valley,Sebastopol,small,30000,polished,modern,corporate
korbel,Korbel Champagne Cellars,"Historic 1882 winery in redwood forest along Russian River. America's best-known sparkling wine. Free marketplace tastings, tours of historic buildings.",California's Premier Champagne Cellars,https://www.korbel.com,(707) 824-7000,13250 River Road,Guerneville,95446,38.478900000000003,-122.9567,russian-river-valley,,Guerneville,commercial,1500000,grand,historic,family-owned
lynmar-estate,Lynmar Estate,"Ultra-premium Russian River Pinot Noir and Chardonnay estate. Stunning modern architecture, farm-to-table cuisine, exceptional hospitality.",The Art of Farming,https://www.lynmarestate.com,(707) 829-3374,3909 Frei Road,Sebastopol,95472,38.423400000000001,-122.82340000000001,russian-river-valley,,Sebastopol,small,12000,polished,elegant,family-owned
twomey-cellars,Twomey Cellars,"Part of Silver Oak family focusing on terroir-driven Pinot Noir. Modern tasting room on Westside Road with intimate, seated experiences.",Discover Pinot Noir,https://www.twomey.com,(707) 942-2950,4850 Westside Road,Healdsburg,95448,38.523400000000002,-122.9123,russian-river-valley,sonoma-coast,Healdsburg,small,15000,polished,modern,family-owned
balletto-vineyards,Balletto Vineyards,"100% estate-grown wines from family that transformed vegetable farm to vineyards. Relaxed patio garden, friendly staff, excellent value wines.",From Farm to Vine,https://www.ballettovineyards.com,(707) 568-2455,5700 Occidental Road,Santa Rosa,95401,38.456699999999998,-122.77889999999999,russian-river-valley,,Sebastopol,medium,25000,established,casual,family-owned
porter-creek,Porter Creek Vineyards,"Organic, biodynamic pioneer producing elegant Pinot Noir and old-vine Carignane. Intimate family winery, often poured by the winemaker.",Organic Since 1982,https://www.portercreekvineyards.com,(707) 433-6321,8735 Westside Road,Healdsburg,95448,38.556699999999999,-122.9234,russian-river-valley,,Healdsburg,boutique,3000,intimate,rustic,family-owned
a-rafanelli,A. Rafanelli Winery,"Legendary cult Zinfandel producer. Four generations of family winemaking. Appointment only, limited production, often sells out quickly.",Consistently Exceptional Since 1974,https://www.arafanelliwinery.com,(707) 433-1385,4685 West Dry Creek Road,Healdsburg,95448,38.7012,-122.9345,dry-creek-valley,,Healdsburg,boutique,10000,intimate,rustic,family-owned
preston-farm,Preston Farm & Winery,"Organic farm and winery with bread from wood-fired oven, olive oil, and organic wines. Rustic farmstead aesthetic, great picnic destination.",A Taste of the Good Life,https://www.prestonvineyards.com,(707) 433-3372,9282 West Dry Creek Road,Healdsburg,95448,38.723399999999998,-122.9456,dry-creek-valley,,Healdsburg,small,8000,boutique,rustic,family-owned
mauritson-wines,Mauritson Wines,Sixth-generation Sonoma farming family now making wine. Known for powerful Rockpile and Dry Creek Zinfandels. Gorgeous hilltop tasting room.,Six Generations Strong,https://www.mauritsonwines.com,(707) 431-0804,2859 Dry Creek Road,Healdsburg,95448,38.678899999999999,-122.9234,rockpile,dry-creek-valley,Healdsburg,small,15000,established,modern,family-owned
lambert-bridge,Lambert Bridge Winery,Beautiful covered bridge entrance leads to charming Dry Creek Valley estate. Known for Bordeaux varietals and excellent picnic grounds.,Crossing Into Excellence,https://www.lambertbridge.com,(707) 431-9600,4085 West Dry Creek Road,Healdsburg,95448,38.695599999999999,-122.9234,dry-creek-valley,,Healdsburg,small,20000,established,rustic,family-owned
bella-vineyards,Bella Vineyards & Wine Caves,Cave tasting room built into hillside. Zinfandel specialist with old-vine wines from Dry Creek and Alexander Valley. Intimate underground experience.,Into the Heart of Zinfandel,https://www.bellawinery.com,(707) 473-9171,9711 West Dry Creek Road,Healdsburg,95448,38.723399999999998,-122.9567,dry-creek-valley,,Healdsburg,boutique,7000,intimate,rustic,family-owned
alexander-valley-vineyards,Alexander Valley Vineyards,"Historic estate on site of Cyrus Alexander's 1840s homestead. Cave tours, organic wines, excellent value. Sin Zin and CYRUS are popular wines.",Where History and Wine Meet,https://www.avvwine.com,(707) 433-7209,8644 Highway 128,Healdsburg,95448,38.656700000000001,-122.82340000000001,alexander-valley,,Healdsburg,medium,100000,established,casual,family-owned
silver-oak-alexander,Silver Oak Alexander Valley,"Iconic Cabernet Sauvignon producer with stunning Alexander Valley estate. LEED Platinum certified, glass-enclosed tasting room, library wines.",Life is a Cabernet,https://www.silveroak.com,(707) 942-7082,24625 Chianti Road,Geyserville,95441,38.723399999999998,-122.8567,alexander-valley,,Geyserville,medium,80000,grand,modern,family-owned
francis-ford-coppola,Francis Ford Coppola Winery,"Filmmaker's wine country resort with pools, movie memorabilia, restaurant, and entertainment. Fun, family-friendly destination beyond just wine.",A Wine Wonderland,https://www.francisfordcoppolawinery.com,(707) 857-1471,300 Via Archimedes,Geyserville,95441,38.745600000000003,-122.8934,alexander-valley,,Geyserville,large,300000,commercial,modern,family-owned
rodney-strong,Rodney Strong Vineyards,"Sonoma County pioneer with wines from multiple AVAs. Architecturally striking winery with concerts and events. Broad portfolio, solid values.",The Soul of Sonoma,https://www.rodneystrong.com,(707) 431-1533,11455 Old Redwood Highway,Healdsburg,95448,38.578899999999997,-122.82340000000001,russian-river-valley,alexander-valley,Healdsburg,large,500000,grand,modern,family-owned
macrostie-winery,MacRostie Winery & Vineyards,Elegant estate specializing in Chardonnay and Pinot Noir from cooler Sonoma sites. Beautiful modern tasting room with vineyard views.,Sonoma's Cool Climate Specialist,https://www.macrostiewinery.com,(707) 473-9303,4605 Westside Road,Healdsburg,95448,38.534500000000001,-122.9123,russian-river-valley,sonoma-coast,Healdsburg,small,25000,polished,modern,family-owned
j-vineyards,J Vineyards & Winery,Sparkling and still wine specialist. Bubble Room for sparkling flights. Multi-course tasting menu at the Legacy Bar. Russian River elegance.,California Sparkling & Still,https://www.jwine.com,(707) 431-3646,11447 Old Redwood Highway,Healdsburg,95448,38.546700000000001,-122.8023,russian-river-valley,,Healdsburg,medium,100000,polished,elegant,corporate
cline-family-cellars,Cline Family Cellars,Historic 1850s farmstead in Carneros. California mission museum on property. Rhône varietals and old-vine Zinfandel. Free tastings.,California Missions Museum & Wine,https://www.clinecellars.com,(707) 940-4030,24737 Arnold Drive,Sonoma,95476,38.245600000000003,-122.489,carneros,sonoma-coast,Sonoma,medium,150000,established,rustic,family-owned
bella-winery,Bella Vineyards and Wine Caves,"Cave tasting experience in Dry Creek Valley. Zinfandel focus from old-vine vineyards. Intimate, memorable cave setting.",Cave Dwelling Zinfandels,https://www.bellawinery.com,(707) 473-9171,9711 West Dry Creek Road,Healdsburg,95448,38.7012,-122.9567,dry-creek-valley,,Healdsburg,boutique,5000,intimate,rustic,family-owned
medlock-ames,Medlock Ames,Organic estate on Bell Mountain. Historic renovated farm buildings. Known for Cabernet and Bell Mountain red blend.,Organic Bell Mountain Estate,https://www.medlockames.com,(707) 431-8845,13414 Chalk Hill Road,Healdsburg,95448,38.578899999999997,-122.7567,alexander-valley,,Healdsburg,small,10000,boutique,rustic,family-owned
verite-winery,Vérité Estate,"Ultra-premium Bordeaux-style wines with 17 perfect 100-point scores. Stunning abbey-inspired estate by Jackson Family Wines and French vigneron Pierre Seillan. Three blends: La Muse, La Joie, Le Désir.",The Truth of the Soil,https://www.veritewines.com,(707) 431-3930,4611 Thomas Road,Healdsburg,95448,38.591200000000001,-122.7234,chalk-hill,alexander-valley,Healdsburg,boutique,3000,grand,elegant,corporate
