id,style_classic,style_luxury,style_family_friendly,style_social,style_sustainable,style_adventure,vibe,noise_level,best_for,not_ideal_for
jordan-winery,5,5,2,2,4,3,"elegant, refined",quiet,"Special occasions, couples, wine enthusiasts","Budget travelers, families with young kids"
dry-creek-vineyard,5,2,4,3,4,2,"rustic, casual",moderate,"Families, Zinfandel lovers, picnickers",Those seeking ultra-luxury
gloria-ferrer,4,4,3,4,4,3,"elegant, lively",moderate,"Sparkling wine fans, groups, special occasions",Those avoiding crowds
scribe-winery,3,4,3,3,5,2,"modern, stylish",moderate,"Design lovers, foodies, Instagram enthusiasts",Traditional wine purists
nalle-winery,4,2,2,2,3,1,"rustic, intimate",quiet,"Serious Zin collectors, those wanting personal touch","Large groups, those wanting grand estates"
iron-horse-vineyards,4,3,3,4,4,3,"rustic, elegant",moderate,"Sparkling lovers, outdoor enthusiasts, oyster fans",Those wanting indoor-only options
martinelli-winery,5,3,3,3,3,2,"historic, rustic",moderate,"History buffs, Zinfandel collectors",Those seeking modern facilities
deloach-vineyards,4,2,4,3,5,3,"rustic, natural",quiet,"Sustainability enthusiasts, families, picnickers",Luxury seekers
unti-vineyards,3,2,4,4,5,2,"casual, funky",moderate,"Italian wine fans, casual visitors, picnickers",Formality seekers
benziger-family-winery,4,2,5,3,5,4,"rustic, educational",moderate,"Families with kids, eco-tourists, curious visitors",Those seeking quick tastings
flowers-winery,4,5,2,2,4,2,"modern, sleek",quiet,"Pinot lovers, architecture fans, serious wine enthusiasts","Budget travelers, families"
seghesio-family-vineyards,4,3,4,4,3,2,"modern, lively",moderate,"Italian wine fans, groups, bocce players",Those seeking quiet intimacy
halleck-vineyard,4,5,3,2,4,3,"elegant, intimate",quiet,"Serious Pinot collectors, dog owners, small groups","Large parties, walk-ins"
pedroncelli-winery,5,1,4,3,3,1,"casual, unpretentious",quiet,"Budget-conscious, families, first-timers","Luxury seekers, those wanting fancy"
arista-winery,4,4,2,2,4,2,"elegant, zen",quiet,"Pinot collectors, garden lovers, couples","Large groups, party atmosphere"
landmark-hop-kiln,5,2,4,3,3,2,"historic, casual",moderate,"History buffs, picnickers, photographers",Ultra-modern seekers
wilson-winery,4,2,3,3,3,2,"rustic, friendly",moderate,"Zinfandel fans, view seekers, casual visitors",Luxury seekers
buena-vista-winery,5,3,4,4,3,3,"historic, theatrical",moderate,"History lovers, sparkling fans, tour groups",Those avoiding tourist spots
ridge-lytton-springs,4,3,2,2,4,2,"modern, serious",quiet,"Serious wine collectors, Zinfandel aficionados","Casual visitors, those wanting food"
gary-farrell-winery,4,4,2,2,4,3,"elegant, modern",quiet,"Pinot enthusiasts, view seekers, couples","Budget travelers, large groups"
ferrari-carano,5,4,3,3,4,2,"elegant, Italian",moderate,"Garden lovers, Italian wine fans, special occasions",Budget travelers
chalk-hill-estate,4,5,2,2,4,3,"elegant, exclusive",quiet,"Serious Chardonnay fans, special occasions","Casual visitors, families"
sebastiani,5,2,4,3,3,2,"historic, casual",moderate,"History buffs, downtown Sonoma visitors",Ultra-luxury seekers
chateau-st-jean,5,4,4,3,3,2,"historic, elegant",moderate,"Garden lovers, photographers, picnickers",Quick tasters
roth-estate,4,3,3,3,3,2,"modern, casual",moderate,"Cabernet lovers, casual visitors",Those seeking intimacy
banshee-wines,3,3,2,4,3,2,"modern, urban",moderate,"Young wine lovers, downtown visitors",Traditional wine purists
lancaster-estate,4,5,1,1,4,2,"elegant, exclusive",quiet,"Collectors, special occasions","Budget travelers, families"
kendall-jackson,4,3,5,4,5,3,"elegant, educational",moderate,"Foodies, families, garden lovers",Those avoiding crowds
la-crema,4,3,3,4,4,2,"modern, approachable",moderate,"Pinot lovers, approachable wines",Collectors seeking rare wines
stonestreet-winery,4,4,2,2,4,3,"modern, serious",quiet,"Cabernet collectors, mountain terroir fans",Casual visitors
matanzas-creek,4,4,3,2,4,3,"elegant, peaceful",quiet,"Lavender lovers, Sauvignon Blanc fans",Party seekers
hartford-family,4,4,2,2,4,2,"rustic, intimate",quiet,"Old-vine enthusiasts, Pinot collectors",Large groups
copain-wines,3,3,3,3,4,2,"casual, relaxed",moderate,"Rhône variety fans, casual atmosphere",Formality seekers
siduri-wines,3,3,2,3,3,2,"casual, urban",moderate,"Pinot obsessives, wine geeks",Scenic estate seekers
fort-ross-vineyard,4,4,2,2,5,5,"rustic, dramatic",quiet,"Adventure seekers, view lovers, coastal wine fans",Those avoiding remote locations
red-car-wine,4,3,2,3,4,2,"casual, knowledgeable",moderate,"Sonoma Coast fans, serious wine enthusiasts",Casual partiers
gundlach-bundschu,4,2,4,4,4,3,"casual, historic",moderate,"Value seekers, concert lovers, families",Ultra-luxury seekers
domaine-carneros,5,5,3,3,3,2,"elegant, French",moderate,"Sparkling wine lovers, special occasions",Budget travelers
cline-cellars,4,2,5,3,3,2,"casual, historic",moderate,"Families, Rhône fans, budget visitors",Luxury seekers
schug-carneros,4,3,3,2,4,2,"modern, German",quiet,"Pinot fans, European wine lovers",Party atmosphere seekers
rams-gate,4,5,2,2,4,2,"modern, luxurious",quiet,"Foodies, luxury seekers, architecture fans",Budget travelers
kunde-family,4,3,4,3,4,4,"rustic, outdoor",moderate,"Outdoor lovers, cave tour fans, families",Urban setting seekers
st-francis,4,4,3,3,4,2,"elegant, culinary",moderate,"Foodies, food-wine pairing lovers",Quick tasters
ledson-winery,5,4,3,3,3,2,"grand, castle",moderate,"Architecture fans, photographers",Minimalism seekers
imagery-estate,3,3,3,3,5,2,"artistic, creative",moderate,"Art lovers, unusual varietals fans",Traditional wine seekers
keller-estate,4,4,2,2,4,3,"elegant, scenic",quiet,"Petaluma Gap fans, cave tour lovers",Casual drop-ins
mcevoy-ranch,4,4,2,2,5,3,"rustic, natural",quiet,"Olive oil fans, Italian wine lovers",Those seeking quick visits
merry-edwards,4,4,2,2,4,2,"modern, polished",quiet,Serious Pinot collectors,"Party seekers, large groups"
korbel,4,2,5,4,3,3,"historic, fun",moderate,"Sparkling fans, budget visitors, families",Ultra-premium seekers
lynmar-estate,4,5,2,2,5,2,"elegant, farm-to-table",quiet,"Foodies, luxury seekers, garden lovers",Budget travelers
twomey-cellars,4,4,2,2,4,2,"modern, intimate",quiet,"Pinot enthusiasts, Silver Oak fans",Large groups
balletto-vineyards,4,2,4,3,4,2,"casual, relaxed",moderate,"Value seekers, families, casual visitors",Luxury seekers
porter-creek,4,2,2,2,5,2,"rustic, intimate",quiet,"Organic wine fans, winemaker interaction seekers",Large groups
a-rafanelli,5,3,1,1,3,1,"rustic, cult",quiet,"Zinfandel collectors, serious wine enthusiasts","Walk-ins, large groups"
preston-farm,4,2,4,3,5,3,"rustic, farmstead",quiet,"Farm lovers, organic enthusiasts, picnickers",Formal setting seekers
mauritson-wines,4,3,3,3,4,3,"modern, scenic",moderate,"Zinfandel fans, Rockpile enthusiasts",Urban setting seekers
lambert-bridge,4,3,4,3,3,2,"rustic, charming",moderate,"Picnickers, Bordeaux variety fans",Ultra-modern seekers
bella-vineyards,4,3,2,2,4,3,"rustic, cave",quiet,"Cave experience seekers, Zinfandel fans",Those avoiding caves
alexander-valley-vineyards,4,2,4,3,4,3,"casual, historic",moderate,"Value seekers, cave tour fans, history buffs",Luxury seekers
silver-oak-alexander,5,5,2,2,5,2,"modern, grand",quiet,"Cabernet collectors, architecture fans",Budget travelers
francis-ford-coppola,3,2,5,5,2,3,"modern, entertainment",loud,"Families, movie fans, pool seekers",Serious wine purists
rodney-strong,4,3,4,4,4,2,"modern, large",moderate,"Value seekers, concert lovers, broad tastes",Intimate setting seekers
macrostie-winery,4,4,2,2,4,2,"modern, scenic",quiet,"Chardonnay fans, view seekers, serious wine lovers",Large groups
j-vineyards,4,4,2,3,4,3,Sparkling elegance with cuisine,quiet,"Sparkling lovers, foodies",Casual drop-ins
bella-winery,4,3,2,3,3,4,Cave Zinfandel experience,quiet,"Zin lovers, cave enthusiasts",Large groups
medlock-ames,4,4,2,3,5,4,Organic Bell Mountain estate,quiet,"Sustainability fans, architecture lovers",Quick tastings
verite-winery,5,5,1,2,4,3,Ultra-luxury abbey-inspired estate with French elegance,quiet,"Serious collectors, Bordeaux lovers, special occasions","Budget travelers, casual visitors, families"
