id,reservation_required,reservation_url,walk_in_likelihood,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,tasting_duration_typical,last_seating_offset
jordan-winery,required,https://jordanwinery.com/visit,low,08:30,16:30,08:30,16:30,08:30,16:30,08:30,16:30,08:30,16:30,08:30,16:30,,,120,90
dry-creek-vineyard,recommended,https://drycreekvineyard.com/visit,medium,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,60,60
gloria-ferrer,recommended,https://gloriaferrer.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
scribe-winery,members-only,https://scribewinery.com,low,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,90,60
nalle-winery,recommended,https://nallewinery.com/visit,high,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,45,30
iron-horse-vineyards,required,https://ironhorsevineyards.com/visit,low,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,60,45
martinelli-winery,recommended,https://martinelliwinery.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
deloach-vineyards,walk-in-friendly,https://deloachvineyards.com/visit,high,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
unti-vineyards,recommended,https://untivineyards.com/visit,medium,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,45,30
benziger-family-winery,recommended,https://benziger.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,90,60
flowers-winery,required,https://flowerswinery.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
seghesio-family-vineyards,recommended,https://seghesio.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
halleck-vineyard,required,https://halleckvineyard.com/visit,low,,,,,,,,,11:00,15:00,11:00,15:00,11:00,15:00,90,60
pedroncelli-winery,walk-in-friendly,https://pedroncelli.com/visit,high,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,45,30
arista-winery,required,https://aristawinery.com/visit,low,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,75,60
landmark-hop-kiln,recommended,https://landmarkwine.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
wilson-winery,recommended,https://wilsonwinery.com/visit,high,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,45,30
buena-vista-winery,recommended,https://buenavistawinery.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
ridge-lytton-springs,recommended,https://ridgewine.com/visit,medium,11:00,16:00,11:00,16:00,11:00,16:00,11:00,16:00,11:00,16:00,11:00,16:00,11:00,16:00,60,45
gary-farrell-winery,required,https://garyfarrellwinery.com/visit,low,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,75,60
ferrari-carano,recommended,https://ferrari-carano.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
chalk-hill-estate,required,https://chalkhill.com/visit,low,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,90,60
sebastiani,walk-in-friendly,https://sebastiani.com/visit,high,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,45,30
chateau-st-jean,recommended,https://chateaustjean.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
roth-estate,recommended,https://rothestate.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
banshee-wines,walk-in-friendly,https://bansheewines.com/visit,high,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,45,30
lancaster-estate,required,https://lancaster-estate.com/visit,low,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,,,90,60
kendall-jackson,recommended,https://kj.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
la-crema,recommended,https://lacrema.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
stonestreet-winery,required,https://stonestreet.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
matanzas-creek,recommended,https://matanzascreek.com/visit,medium,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,60,45
hartford-family,required,https://hartfordwines.com/visit,low,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,60,45
copain-wines,recommended,https://copainwines.com/visit,medium,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,60,45
siduri-wines,recommended,https://siduri.com/visit,medium,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,60,45
fort-ross-vineyard,required,https://fortrossvineyard.com/visit,low,,,,,,,,,10:00,15:00,10:00,15:00,10:00,15:00,90,60
red-car-wine,recommended,https://redcarwine.com/visit,medium,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,60,45
gundlach-bundschu,recommended,https://gunbun.com/visit,medium,11:00,17:30,11:00,17:30,11:00,17:30,11:00,17:30,11:00,17:30,11:00,17:30,11:00,17:30,60,45
domaine-carneros,recommended,https://domainecarneros.com/visit,medium,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,10:00,17:30,75,60
cline-cellars,walk-in-friendly,https://clinecellars.com/visit,high,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,45,30
schug-carneros,recommended,https://schugwinery.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
rams-gate,required,https://ramsgatewinery.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,90,60
kunde-family,recommended,https://kunde.com/visit,medium,10:30,17:00,10:30,17:00,10:30,17:00,10:30,17:00,10:30,17:00,10:30,17:00,10:30,17:00,60,45
st-francis,required,https://stfranciswinery.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,90,60
ledson-winery,recommended,https://ledson.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
imagery-estate,recommended,https://imagerywinery.com/visit,medium,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,60,45
keller-estate,required,https://kellerestate.com/visit,low,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,75,60
mcevoy-ranch,required,https://mcevoyranch.com/visit,low,,,,,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,90,60
merry-edwards,required,https://merryedwards.com/visit,low,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,75,60
korbel,walk-in-friendly,https://korbel.com/visit,high,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,60,45
lynmar-estate,required,https://lynmarestate.com/visit,low,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,10:00,16:30,90,60
twomey-cellars,required,https://twomey.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
balletto-vineyards,walk-in-friendly,https://ballettovineyards.com/visit,high,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,45,30
porter-creek,recommended,https://portercreekvineyards.com/visit,high,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,45,30
a-rafanelli,required,https://arafanelliwinery.com,low,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,,,60,45
preston-farm,recommended,https://prestonvineyards.com/visit,medium,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,45,30
mauritson-wines,recommended,https://mauritsonwines.com/visit,medium,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,60,45
lambert-bridge,recommended,https://lambertbridge.com/visit,medium,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,10:30,16:30,60,45
bella-vineyards,recommended,https://bellawinery.com/visit,medium,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,60,45
alexander-valley-vineyards,walk-in-friendly,https://avvwine.com/visit,high,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,45,30
silver-oak-alexander,required,https://silveroak.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
francis-ford-coppola,walk-in-friendly,https://francisfordcoppolawinery.com/visit,high,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,11:00,18:00,60,45
rodney-strong,recommended,https://rodneystrong.com/visit,medium,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
macrostie-winery,required,https://macrostiewinery.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,75,60
j-vineyards,required,https://jwine.com/visit,low,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,11:00,17:00,90,60
bella-winery,required,https://bellawinery.com/visit,low,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,11:00,16:30,60,45
medlock-ames,required,https://medlockames.com/visit,low,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,60,45
verite-winery,required,https://veritewines.com/visit,low,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,120,90
